Date,Open,High,Low,Close,Adj Close,Volume
25-04-2022,273.290009,281.109985,270.769989,280.720001,277.992828,35678900
26-04-2022,277.5,278.359985,270,270.220001,267.594818,46518400
27-04-2022,282.100006,290.970001,279.160004,283.220001,280.468506,63477700
28-04-2022,285.190002,290.980011,281.459991,289.630005,286.816254,33646600
29-04-2022,288.609985,289.880005,276.5,277.519989,274.823853,37073900
02-05-2022,277.709991,284.940002,276.220001,284.470001,281.70639,35151100
03-05-2022,283.959991,284.130005,280.149994,281.779999,279.042511,25978600
04-05-2022,282.589996,290.880005,276.730011,289.980011,287.162842,33599300
05-05-2022,285.540009,286.350006,274.339996,277.350006,274.655548,43260400
06-05-2022,274.809998,279.25,271.269989,274.730011,272.060974,37780300
09-05-2022,270.059998,272.359985,263.320007,264.579987,262.009583,47726000
10-05-2022,271.690002,273.75,265.070007,269.5,266.881805,39336400
11-05-2022,265.679993,271.359985,259.299988,260.549988,258.018738,48975900
12-05-2022,257.690002,259.880005,250.020004,255.350006,252.869278,51033800
13-05-2022,257.350006,263.040009,255.350006,261.119995,258.583221,34925100
16-05-2022,259.959991,265.820007,255.779999,261.5,258.959503,32550900
17-05-2022,266.109985,268.329987,262.459991,266.820007,264.227875,28828800
18-05-2022,263,263.600006,252.770004,254.080002,252.197632,31356000
19-05-2022,253.899994,257.670013,251.880005,253.139999,251.264603,32692300
20-05-2022,257.23999,258.540009,246.440002,252.559998,250.688904,39199300
23-05-2022,255.490005,261.5,253.429993,260.649994,258.718933,33175400
24-05-2022,257.890015,261.329987,253.5,259.619995,257.696594,29043900
25-05-2022,258.140015,264.579987,257.130005,262.519989,260.575073,28547900
26-05-2022,262.269989,267.109985,261.429993,265.899994,263.930054,25002100
27-05-2022,268.480011,273.339996,267.559998,273.23999,271.215637,26910800
31-05-2022,272.529999,274.769989,268.929993,271.869995,269.855835,37827700
01-06-2022,275.200012,277.690002,270.040009,272.420013,270.401764,25292200
02-06-2022,264.450012,274.649994,261.600006,274.579987,272.545746,44008200
03-06-2022,270.309998,273.450012,268.410004,270.019989,268.019562,28059000
06-06-2022,272.059998,274.179993,267.220001,268.75,266.758942,22400300
07-06-2022,266.640015,273.130005,265.940002,272.5,270.481171,22860700
08-06-2022,271.709991,273,269.609985,270.410004,268.406677,17372300
09-06-2022,267.779999,272.709991,264.630005,264.790009,262.828308,26439700
10-06-2022,260.579987,260.579987,252.529999,252.990005,251.115723,31422800
13-06-2022,245.110001,249.020004,241.529999,242.259995,240.465195,46135800
14-06-2022,243.860001,245.740005,241.509995,244.490005,242.67868,28651500
15-06-2022,248.309998,255.300003,246.419998,251.759995,249.894836,33111700
16-06-2022,245.979996,247.419998,243.020004,244.970001,243.155121,33169200
17-06-2022,244.699997,250.5,244.029999,247.649994,245.815262,43084800
21-06-2022,250.259995,254.75,249.509995,253.740005,251.860168,29928300
22-06-2022,251.889999,257.170013,250.369995,253.130005,251.254684,25939900
23-06-2022,255.570007,259.369995,253.630005,258.859985,256.9422,25861400
24-06-2022,261.809998,267.980011,261.720001,267.700012,265.716736,33923200
27-06-2022,268.209991,268.299988,263.279999,264.890015,262.927582,24615100
28-06-2022,263.980011,266.910004,256.320007,256.480011,254.579849,27295500
29-06-2022,257.589996,261.970001,255.759995,260.26001,258.331848,20069800
30-06-2022,257.049988,259.529999,252.899994,256.829987,254.927231,31730900
01-07-2022,256.390015,259.769989,254.610001,259.579987,257.656891,22837700
05-07-2022,256.160004,262.980011,254.740005,262.850006,260.902679,22941000
06-07-2022,263.75,267.98999,262.399994,266.209991,264.237762,23824400
07-07-2022,265.119995,269.059998,265.019989,268.399994,266.41153,20859900
08-07-2022,264.790009,268.100006,263.290009,267.660004,265.677032,19658800
11-07-2022,265.649994,266.529999,262.179993,264.51001,262.550385,19455200
12-07-2022,265.880005,265.940002,252.039993,253.669998,251.790665,35868500
13-07-2022,250.190002,253.550003,248.110001,252.720001,250.847717,29497400
14-07-2022,250.570007,255.139999,245.940002,254.080002,252.197632,25102800
15-07-2022,255.720001,260.369995,254.770004,256.720001,254.818069,29774100
18-07-2022,259.75,260.839996,253.300003,254.25,252.366379,20975000
19-07-2022,257.579987,259.720001,253.679993,259.529999,257.607269,25012600
20-07-2022,259.899994,264.869995,258.910004,262.269989,260.326965,22788300
21-07-2022,259.790009,264.890015,257.029999,264.839996,262.877899,22404700
22-07-2022,265.23999,265.329987,259.070007,260.359985,258.431091,21881300
25-07-2022,261,261.5,256.809998,258.829987,256.912445,21056000
26-07-2022,259.859985,259.880005,249.570007,251.899994,250.033783,39348000
27-07-2022,261.160004,270.049988,258.850006,268.73999,266.749023,45994000
28-07-2022,269.75,277.839996,267.869995,276.410004,274.362183,33459300
29-07-2022,277.700012,282,276.630005,280.73999,278.660126,32152800
01-08-2022,277.820007,281.279999,275.839996,278.01001,275.950348,21539600
