Date,Open,High,Low,Close,Adj Close,Volume,pc
25-04-2022,119.429497,123.278,118.769249,123.25,123.25,34522000,
26-04-2022,122.75,122.75,119.16185,119.505997,119.505997,49394000,-0.031328997
27-04-2022,114.373001,117.5,113.124252,115.0205,115.0205,62238000,-0.03899737
28-04-2022,117.114998,120.438499,115.143898,119.411499,119.411499,36790000,0.036771995
29-04-2022,117.578003,118.959999,114.694,114.966499,114.966499,33694000,-0.038663437
02-05-2022,113.906502,117.3395,113.399498,117.156998,117.156998,30280000,0.018697125
03-05-2022,116.764999,119.300003,116.626999,118.129501,118.129501,21216000,0.008232516
04-05-2022,118.003502,123.142998,115.738503,122.574997,122.574997,33232000,0.03626756
05-05-2022,120.220497,121.233253,115.182503,116.746498,116.746498,43090000,-0.049924401
06-05-2022,115.518997,117.498497,114.142998,115.660004,115.660004,35310000,-0.009393861
09-05-2022,113.303497,115.562897,112.551498,113.084,113.084,34520000,-0.022779562
10-05-2022,116.040497,116.691002,113.383301,114.584503,114.584503,31158000,0.013095165
11-05-2022,113.710503,116.670998,113.650002,113.960999,113.960999,36502000,-0.005471205
12-05-2022,111.938004,114.856499,110.113503,113.161003,113.161003,41464000,-0.007069538
13-05-2022,114.845497,118.084999,114,116.515503,116.515503,29738000,0.02879016
16-05-2022,115.384003,116.607498,114.334999,114.792503,114.792503,23282000,-0.015009691
17-05-2022,117.227501,117.227501,115.337502,116.7015,116.7015,21576000,0.016357947
18-05-2022,115.237503,115.695648,112.141998,112.401001,112.401001,27982000,-0.038260327
19-05-2022,111.841003,113.587502,110.468002,110.745499,110.745499,29192000,-0.014948707
20-05-2022,112.085503,112.550003,106.373001,109.313004,109.313004,37586000,-0.013104525
23-05-2022,110.103996,112.005501,109.154251,111.666496,111.666496,31558000,0.02107608
24-05-2022,106.377502,106.394997,102.208,105.926003,105.926003,60386000,-0.054193426
25-05-2022,105.141998,106.544701,104.21125,105.8395,105.8395,37900000,-0.000817304
26-05-2022,106.050499,108.955254,105.487999,108.295998,108.295998,30288000,0.022683184
27-05-2022,109.788498,112.867996,109.550003,112.799004,112.799004,29924000,0.039920618
31-05-2022,113.079002,116.433502,112.572502,114.039001,114.039001,51302000,0.010873447
01-06-2022,114.931503,117.399002,113.550499,114.137001,114.137001,28630000,0.000858617
02-06-2022,114.188004,117.898003,113.307999,117.746002,117.746002,27472000,0.030650731
03-06-2022,115.9925,116.364502,113.667999,114.564003,114.564003,25052000,-0.027774859
06-06-2022,116.7425,119.398499,116.528297,117.010498,117.010498,23786000,0.020908338
07-06-2022,115.648003,117.74865,115.125504,117.2295,117.2295,26414000,0.001868148
08-06-2022,116.876503,118.646004,116.696747,117.237999,117.237999,22544000,7.24936E-05
09-06-2022,116.341499,118.349998,114.866997,114.917999,114.917999,23142000,-0.020188308
10-06-2022,112.78125,113.497002,110.861,111.427498,111.427498,31324000,-0.031325311
13-06-2022,107.445999,109.218498,106.588051,106.876503,106.876503,36756000,-0.042581811
14-06-2022,106.889999,108.457497,106.351997,107.194,107.194,25480000,0.002961892
15-06-2022,108.899498,112.063004,108.118752,110.390503,110.390503,33192000,0.028956322
16-06-2022,108.149498,109.290497,105.792503,106.636002,106.636002,35314000,-0.035208569
17-06-2022,106.535004,109.249496,105.628548,107.865501,107.865501,43516000,0.011398445
21-06-2022,109.702003,112.672997,109.293503,112.014999,112.014999,39010000,0.037044128
22-06-2022,111.163002,113.769501,110.724297,112.033997,112.033997,23922000,0.000169574
23-06-2022,112.949997,113.196503,111.028999,112.684502,112.684502,24710000,0.005772799
24-06-2022,113.602997,118.637497,113.602997,118.538002,118.538002,39122000,0.049380788
27-06-2022,118.934998,119.25,116.000748,116.622498,116.622498,32840000,-0.016424824
28-06-2022,116.350998,117.856499,112.444,112.571503,112.571503,28232000,-0.035985972
29-06-2022,112.148499,113.664497,111.554001,112.2565,112.2565,18628000,-0.0028061
30-06-2022,110.499496,111.329803,107.309998,109.372498,109.372498,38046000,-0.026368621
01-07-2022,108.336998,109.806351,107.105003,109.081001,109.081001,31028000,-0.002672299
05-07-2022,107.514503,114.052597,106.249496,113.887001,113.887001,36398000,0.042199724
06-07-2022,114.092003,116.351997,112.250504,115.213501,115.213501,28852000,0.011513408
07-07-2022,116.008003,119.862,115.533997,119.306,119.306,32184000,0.034302541
08-07-2022,117.550003,120.434998,117.514,120.168503,120.168503,29082000,0.007177446
11-07-2022,118.650002,118.794502,116.234497,116.522499,116.522499,26718000,-0.031290129
12-07-2022,116.838501,117.849503,114.614998,114.849503,114.849503,24970000,-0.014566855
13-07-2022,112.639,115.156998,111.822998,112.186996,112.186996,38958000,-0.02373276
14-07-2022,110.825996,111.987503,109.3255,111.440002,111.440002,32366000,-0.006703105
15-07-2022,112.962997,114.000504,111.822502,112.766998,112.766998,34330000,0.011767592
18-07-2022,113.440002,114.800003,109.300003,109.910004,109.910004,33354000,-0.02599394
19-07-2022,111.730003,114.809998,110.5,114.620003,114.620003,30992300,0.041092295
20-07-2022,114.059998,116.330002,113.260002,114.699997,114.699997,26780100,0.000697419
21-07-2022,115.089996,115.209999,111.910004,115.040001,115.040001,27267800,0.002955528
22-07-2022,111.809998,113.18,107.599998,108.360001,108.360001,44455300,-0.061646363
25-07-2022,108.879997,110.580002,107.010002,108.209999,108.209999,28289900,-0.001386212
26-07-2022,107.43,107.739998,104.760002,105.440002,105.440002,36626600,-0.026270836
